platform,date,year,week,id_project,project_name,start_price,end_price,performance
polygon-ecosystem,2023-08-12,2023,32,376,Bitcoin,29029.0,29406.0,0.0129870129870129
polygon-ecosystem,2023-08-12,2023,32,345,Binance Coin,242.68,240.52,-0.0089006098566012
polygon-ecosystem,2023-08-12,2023,32,5395,Uniswap,6.03,6.17,0.023217247097844
polygon-ecosystem,2023-08-12,2023,32,659,ChainLink,7.18,7.4,0.0306406685236769
polygon-ecosystem,2023-08-12,2023,32,13879,Rocket Pool ETH,1977.9,2005.76,0.0140856463926386
polygon-ecosystem,2023-08-12,2023,32,1036,Polygon,0.662995,0.6801,0.0257995912488028
polygon-ecosystem,2023-08-12,2023,32,6569,The Graph,0.10437,0.10555,0.0113059308230334
polygon-ecosystem,2023-08-12,2023,32,5613,Aave,64.06,65.84,0.0277864502029347
polygon-ecosystem,2023-08-12,2023,32,996,Maker,1235.53,1226.22,-0.0075352277969777
polygon-ecosystem,2023-08-12,2023,32,6723,Lido DAO,1.84,1.84,0.0
polygon-ecosystem,2023-08-19,2023,33,376,Bitcoin,29406.0,26074.0,-0.1133102088009249
polygon-ecosystem,2023-08-19,2023,33,345,Binance Coin,240.52,216.39,-0.1003242973557293
polygon-ecosystem,2023-08-19,2023,33,5395,Uniswap,6.17,4.89,-0.2074554294975689
polygon-ecosystem,2023-08-19,2023,33,659,ChainLink,7.4,6.14,-0.1702702702702703
polygon-ecosystem,2023-08-19,2023,33,1036,Polygon,0.6801,0.574214,-0.1556918100279371
